opinion_id	field	garbled_token	nearest_roster	edit_distance
5008	judges	Bure	burke	1
5009	judges	Bure	burke	1
5010	judges	Bure	burke	1
5043	judges	Burice	bruce	2
5048	judges	Burice	bruce	2
5049	judges	Buree	burke	1
5069	judges	Bubr	burr	1
5081	judges	Bure	burke	1
5082	judges	Bure	burke	1
5085	judges	Burice	bruce	2
5090	judges	Bure	burke	1
5092	judges	Bueke	burke	1
5093	judges	Spaulding	spalding	1
5121	judges	Hearing	maring	2
5128	judges	Hearing	maring	2
5128	judges	Said	sand	1
5132	judges	Hearing	maring	2
5140	judges	Hearing	maring	2
5151	judges	Hearing	maring	2
5166	judges	Hearing	maring	2
5168	judges	Hearing	maring	2
5182	judges	Bearing	maring	2
5186	judges	Hearing	maring	2
5189	judges	Hearing	maring	2
5197	judges	Hearing	maring	2
5198	judges	Hearing	maring	2
5199	judges	Hearing	maring	2
5208	judges	Having	maring	2
5208	judges	Hearing	maring	2
5210	judges	Hearing	maring	2
5249	judges	Walltn	wallin	1
5251	judges	Having	maring	2
5337	judges	Hearing	maring	2
5392	judges	Hearing	maring	2
5397	judges	Hearing	maring	2
5407	judges	Hearing	maring	2
5602	judges	Warrin	wallin	2
5681	judges	Hearing	maring	2
5735	judges	Waixin	wallin	2
5783	judges	Said	sand	1
5794	judges	Hearing	maring	2
5827	judges	Avallin	wallin	2
5886	judges	Walltn	wallin	1
6058	judges	Bure	burke	1
6059	judges	Bukr	burr	1
6059	judges	Burice	bruce	2
6061	judges	Bure	burke	1
6100	judges	Sature	sathre	1
6111	judges	Burkk	burke	1
6144	judges	Sature	sathre	1
6153	judges	Bukr	burr	1
6197	judges	Sature	sathre	1
6207	judges	Sature	sathre	1
6212	judges	Satitre	sathre	2
6216	judges	Sature	sathre	1
6237	judges	Sature	sathre	1
6239	judges	Sature	sathre	1
6240	judges	Sature	sathre	1
6256	judges	Bure	burke	1
6257	judges	Buree	burke	1
6260	judges	Buree	burke	1
6378	judges	Eurke	burke	1
6417	judges	Gloss	goss	1
6629	judges	Tkigen	teigen	1
6666	judges	Tiegen	teigen	2
6709	judges	Moreis	morris	1
6715	judges	Mortus	morris	2
6812	judges	Tligen	teigen	1
6832	judges	Tiegen	teigen	2
6862	judges	Hearing	maring	2
6974	judges	Burice	bruce	2
6989	judges	Bure	burke	1
6992	judges	Bure	burke	1
7086	judges	Buriie	burke	2
7089	judges	Burice	bruce	2
7093	judges	Bueke	burke	1
7093	judges	Moreis	morris	1
7095	judges	Burk	burke	1
7186	judges	Bure	burke	1
7272	judges	Tiegen	teigen	2
7278	judges	Teigin	teigen	1
7307	judges	Knudsen	knudson	1
7400	judges	Bure	burke	1
7401	judges	Burkje	burke	1
7405	judges	Burk	burke	1
7412	judges	Moebis	morris	2
7424	judges	Yogel	vogel	1
7447	judges	Pedersen	pederson	1
7450	judges	Sands	sand	1
7531	judges	Moeeis	morris	2
7532	judges	Bure	burke	1
7643	judges	Mobbis	morris	2
7675	judges	Yogel	vogel	1
7755	judges	Pedersen	pederson	1
7764	judges	Moeris	morris	1
7900	judges	Mobbis	morris	2
7902	judges	Bubr	burr	1
7902	judges	Mourns	morris	2
7904	judges	Bure	burke	1
7959	judges	Barken	burke	2
8036	judges	Bubr	burr	1
8036	judges	Mobris	morris	1
8039	judges	Moeeis	morris	2
8040	judges	Bukr	burr	1
8044	judges	Moeris	morris	1
8166	judges	Norman	morgan	2
8291	judges	Burice	bruce	2
8293	judges	Burice	bruce	2
8313	judges	Bueke	burke	1
8425	judges	Newmann	neumann	1
8436	judges	Barken	burke	2
8462	judges	Pedersen	pederson	1
8585	judges	Peterson	pederson	1
8943	judges	Pedersen	pederson	1
8943	judges	Paulsen	paulson	1
9274	judges	Pedersen	pederson	1
9342	judges	Giekke	gierke	1
9384	judges	Levin	levine	1
9506	judges	Gierre	gierke	1
9820	judges	Morjris	morris	1
9823	judges	Bure	burke	1
9842	judges	Gieeke	gierke	1
10105	judges	Gierre	gierke	1
10312	judges	Barken	burke	2
11015	judges	Leyine	levine	1
11053	judges	Norris	morris	1
11062	judges	Sature	sathre	1
11209	judges	Suthre	sathre	1
11385	judges	Burk	burke	1
11388	judges	Burkk	burke	1
11389	judges	Burice	bruce	2
11390	judges	Burice	bruce	2
