opinion_id	cite	status	kind	fn_count	note
1	13 N.D. 359	MISSING	lettered	0	A1  Rehearing denied October 17, 1904.
2	13 N.D. 305	NO_FOOTNOTES		0	
3	13 N.D. 406	NO_FOOTNOTES		0	
4	13 N.D. 344	NO_FOOTNOTES		0	
5	13 N.D. 361	NO_FOOTNOTES		0	
6	13 N.D. 387	NO_FOOTNOTES		0	
7	13 N.D. 396	NO_FOOTNOTES		0	
8	13 N.D. 373	NO_FOOTNOTES		0	
9	13 N.D. 391	NO_FOOTNOTES		0	
10	13 N.D. 363	MISSING	lettered	0	a1  Rehearing denied October 25, 1904.
11	13 N.D. 357	NO_FOOTNOTES		0	
12	13 N.D. 176	NO_FOOTNOTES		0	
13	13 N.D. 157	NO_FOOTNOTES		0	
14	13 N.D. 167	NO_FOOTNOTES		0	
15	13 N.D. 211	NO_FOOTNOTES		0	
16	13 N.D. 204	NO_FOOTNOTES		0	
17	13 N.D. 153	NO_FOOTNOTES		0	
18	13 N.D. 221	NO_FOOTNOTES		0	
19	13 N.D. 149	NO_FOOTNOTES		0	
20	13 N.D. 232	NO_FOOTNOTES		0	
21	13 N.D. 337	NO_FOOTNOTES		0	
22	13 N.D. 327	NO_FOOTNOTES		0	
23	13 N.D. 312	NO_FOOTNOTES		0	
24	13 N.D. 267	NO_FOOTNOTES		0	
25	13 N.D. 242	MISSING	lettered	0	a1  Rehearing denied August 10, 1904.
26	13 N.D. 257	MISSING	lettered	0	a1  Rehearing denied August 31, 1904.
27	13 N.D. 284	NO_FOOTNOTES		0	
28	13 N.D. 199	MISSING	lettered	0	a1  Rehearing denied September 6, 1904.
29	13 N.D. 277	MISSING	lettered	0	a1  Rehearing denied August 2, 1904.
30	13 N.D. 288	MISSING	lettered	0	a1  Rehearing denied August 31, 1904.
31	13 N.D. 356	NO_FOOTNOTES		0	
32	13 N.D. 319	MISSING	lettered	0	a1  Rehearing denied September 10, 1904.
33	13 N.D. 513	NO_FOOTNOTES		0	
34	13 N.D. 432	NO_FOOTNOTES		0	
35	13 N.D. 411	NO_FOOTNOTES		0	
36	13 N.D. 430	NO_FOOTNOTES		0	
37	13 N.D. 420	NO_FOOTNOTES		0	
38	13 N.D. 383	NO_FOOTNOTES		0	
39	13 N.D. 426	NO_FOOTNOTES		0	
40	13 N.D. 182	MISSING	lettered	0	A1  Rehearing denied November 23, 1904.
41	13 N.D. 494	NO_FOOTNOTES		0	
42	13 N.D. 508	NO_FOOTNOTES		0	
43	13 N.D. 502	NO_FOOTNOTES		0	
44	13 N.D. 458	NO_FOOTNOTES		0	
46	13 N.D. 453	NO_FOOTNOTES		0	
47	13 N.D. 444	MISSING	lettered	0	a1  Rehearing denied December 21, 1904.
48	13 N.D. 516	NO_FOOTNOTES		0	
49	13 N.D. 577	NO_FOOTNOTES		0	
