oid	neutral	year	pages	fullpage_imgs	img_mp	kb_per_page	classification	has_2nd_source	pdf_path
12407	1997 ND 51	1997	6	0	0.0	214	born_digital	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND51.pdf
12408	1997 ND 57	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND57.pdf
12409	1997 ND 54	1997	10	10	148.2	74	SCANNED_OCR	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND54.pdf
12410	1997 ND 58	1997	4	4	59.5	51	SCANNED_OCR	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND58.pdf
12411	1997 ND 47	1997	8	8	118.8	75	SCANNED_OCR	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND47.pdf
12426	1997 ND 52	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND52.pdf
12428	1997 ND 56	1997	5	0	0.0	17	born_digital	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND56.pdf
18274	1997 ND 53	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND53.pdf
12412	1997 ND 63	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND63.pdf
12413	1997 ND 80	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND80.pdf
12414	1997 ND 66	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND66.pdf
12415	1997 ND 72	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND72.pdf
12416	1997 ND 69	1997	6	6	89.3	65	SCANNED_OCR	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND69.pdf
12417	1997 ND 81	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND81.pdf
12418	1997 ND 71	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND71.pdf
12419	1997 ND 74	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND74.pdf
12420	1997 ND 77	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND77.pdf
12421	1997 ND 64	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND64.pdf
12422	1997 ND 65	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND65.pdf
12423	1997 ND 79	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND79.pdf
12424	1997 ND 75	1997	8	0	0.0	13	born_digital	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND75.pdf
12425	1997 ND 76	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND76.pdf
12429	1997 ND 73	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND73.pdf
12434	1997 ND 78	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND78.pdf
18275	1997 ND 67	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND67.pdf
18276	1997 ND 68	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND68.pdf
18277	1997 ND 70	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND70.pdf
12443	1997 ND 82	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND82.pdf
12352	1997 ND 4	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND4.pdf
12427	1997 ND 83	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND83.pdf
12430	1997 ND 84	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND84.pdf
12431	1997 ND 92	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND92.pdf
12432	1997 ND 89	1997					NO_PDF	1	/Users/jerod/refs/nd/opin/pdfs/1997/1997ND89.pdf
