kind	oid	case	detail
STRIP	6404	Newman v. Hjelle	37357->30483	wh=True pp=0
STRIP	6405	Rynestad v. Clemetson	27061->21418	wh=True pp=0
STRIP	6418	Holien v. Trydahl	21389->17275	wh=True pp=0
STRIP	6419	State v. Manning	37018->29406	wh=True pp=0
STRIP	6420	Larson v. Meyer	79927->68721	wh=True pp=0
STRIP	6424	In Re Edinger's Estate	43902->32985	wh=True pp=0
STRIP	6427	Fox v. Bellon	29863->24149	wh=True pp=0
STRIP	6431	Morton County Board of Park Commissioners 	9192->7867	wh=True pp=0
STRIP	6432	Cokins v. Frandsen	11181->8771	wh=True pp=0
STRIP	6433	Bismarck Public School District No. One of	21764->20187	wh=True pp=0
STRIP	6436	Manikowske Ex Rel. Bladow v. Manikowske	64613->54834	wh=True pp=0
STRIP	6439	Wanna v. Miller	29499->25146	wh=True pp=0
STRIP	6441	Renner v. Murray	20023->17418	wh=True pp=0
STRIP	6443	Lang v. General Motors Corporation	16916->15538	wh=True pp=0
STRIP	6444	Kuntz v. Stelmachuk	47642->39133	wh=True pp=0
STRIP	6450	In Re GUARDIANSHIP of FRANK	25247->22475	wh=True pp=0
STRIP	6451	In Re Bjerke's Estate	10641->9211	wh=True pp=0
STRIP	6458	McKay v. Mitzel	11787->9158	wh=True pp=0
STRIP	6461	Granger v. Deaconess Hospital of Grand For	39987->38534	wh=True pp=0
STRIP	6462	Lindenberg v. Folson	40034->33179	wh=True pp=0
STRIP	6463	Graves v. First National Bank in Grand For	36825->35395	wh=True pp=0
STRIP	6467	Fetzer v. Minot Park District	9504->7107	wh=True pp=0
STRIP	6470	State v. Glavkee	17202->14421	wh=True pp=0
STRIP	6471	Teegarden v. Dahl	81718->67253	wh=True pp=0
STRIP	6473	State Ex Rel. Olson v. Lynch	10739->8523	wh=True pp=0
STRIP	6474	State v. Chaussee	16845->15030	wh=True pp=0
STRIP	6476	Gebeke v. Arthur Mercantile Company	6570->5766	wh=True pp=0
STRIP	6576	Zundel v. Zundel	23358->21612	wh=True pp=0
STRIP	6648	Orwick v. Orwick	9317->6855	wh=True pp=0
STRIP	6772	Walker v. Peterson	33488->32205	wh=True pp=0
STRIP	6814	Lembke v. Unke	73484->71174	wh=True pp=0
STRIP	6970	Skinner v. American State Bank	36379->34851	wh=True pp=1
STRIP	7073	State v. Champagne	82177->75080	wh=True pp=0
STRIP	7111	Trengen v. Mongeon	14916->11884	wh=True pp=1
STRIP	7135	Application of Christianson	14059->12660	wh=True pp=0
STRIP	7151	Coyne v. R. K. H.	18307->15564	wh=True pp=1
STRIP	7211	State v. Allesi	13159->12438	wh=True pp=1
STRIP	7219	Johanson v. Nash Finch Company	7604->6246	wh=True pp=1
STRIP	7228	Naaden v. Hagen	9542->7955	wh=True pp=1
STRIP	7249	Application of Christianson	26661->24367	wh=True pp=0
