kind	cite	keep	drop	names	keep_meta	drop_meta
NEEDS_DECISION	41 N.D. 473	2125	20387	Druey v. Baldwin | Druey v. Baldwin (Robinson, J., separate opinion)	K[1919-01-31 auth=Bronson tl=14717 cb=2 src=NW*]	D[1919-01-31 auth=Robinson tl=3592 cb=1 src=westlaw*]
NEEDS_DECISION	44 N.D. 250	2169	2167	Nelson v. Middlewest Grain Co. | Olson v. Middlewest Grain Co.	K[1919-06-21 auth=PC tl=841 cb=0 src=westlaw*,NW]	D[1919-06-21 auth=PC tl=837 cb=0 src=westlaw*,NW]
NEEDS_DECISION	456 N.W.2d 772	10657	10656	Disciplinary Board of the Supreme Court of the State of North Dakota v. Palda | Disciplinary Board of the Supreme Court of the State of North Dakota v. Britton	K[1990-06-28 auth=Erickstad tl=1332 cb=1 src=westlaw*,NW2d]	D[1990-06-28 auth=Erickstad tl=1612 cb=0 src=westlaw*,NW2d]
NEEDS_DECISION	469 N.W.2d 801	10874	10873	Ebach v. Ralston | Schumacher v. Schumacher	K[1991-05-07 auth=Levine tl=22267 cb=26 src=westlaw*,NW2d]	D[1991-05-07 auth=Gierke tl=1581 cb=0 src=westlaw*,NW2d]
NEEDS_DECISION	47 N.D. 266	2473	20388	Altenbrun v. First National Bank | Altenbrun v. First National Bank (concurring opinion)	K[1921-01-24 auth=Robinson tl=15938 cb=4 src=NW*]	D[1921-01-24 auth=? tl=1814 cb=3 src=westlaw*]
NEEDS_DECISION	473 N.W.2d 134	10934	20481	In re District Judge Vacancy in the Chamber at Linton South Central Judicial District | In the Matter of a DISTRICT JUDGE VACANCY in the CHAMBER at WILLISTON in the NORTHWEST JUDICIAL DISTRICT.	K[1991-08-16 auth=Erickstad tl=2110 cb=1 src=westlaw*,NW2d]	D[1991-08-16 auth=? tl=1754 cb=0 src=westlaw*]
NEEDS_DECISION_GONE	489 N.W.2d 885	11201	11200	one row already merged away		
NEEDS_DECISION	50 N.D. 25	2863	20390	Lincoln Addition Improvement Co. v. Lenhart | Lincoln Addition Improvement Co. v. Lenhart (per curiam (joint with Baker v. Lenhart))	K[1922-12-30 auth=Birdzell tl=9196 cb=1 src=NW*]	D[1922-12-30 auth=? tl=3055 cb=0 src=westlaw*]
NEEDS_DECISION	525 N.W.2d 250	11804	11803	Kieffer v. Huebner | Morehouse v. Morehouse	K[1994-10-27 auth=Levine tl=933 cb=0 src=westlaw*,NW2d]	D[1994-10-27 auth=Levine tl=1298 cb=0 src=westlaw*,NW2d]
NEEDS_DECISION	536 N.W.2d 354	11969	11968	In re Disciplinary Action Against Moosbrugger | In re Disciplinary Action Against Sletten	K[1995-08-18 auth=PC tl=2079 cb=1 src=NW2d*]	D[1995-08-18 auth=PC tl=3342 cb=0 src=NW2d*]
NEEDS_DECISION_GONE	539 N.W.2d 869	12028	12027	one row already merged away		
